Name,Birthplace,Death Place,Birth Year,Death Year,B_Lat,B_Lon,B_State,D_Lat,D_Lon,D_State
Amir Khusro,Patiyali,Delhi,1253,1325,27.687416,78.99951539999999,Uttar Pradesh,28.7040592,77.10249019999999,Delhi
Bande Nawaz,Delhi,Gulbarga Fort,1321,1422,28.7040592,77.10249019999999,Delhi,17.3404881,76.8296144,Karnataka
Kabir,"Varanasi, Banaras","Maghar, India",1398,1448,25.3176452,82.9739144,Uttar Pradesh,26.7557109,83.1277242,Uttar Pradesh
Meera,Kudki,Dwarka,1498,1547,26.4348326,74.2487451,Rajasthan,22.2441975,68.96845619999999,Gujarat
Ibrahim Quli Qutb Shah Wali,Golkonda,Golkonda,1518,1580,17.383309,78.4010528,Telangana,17.383309,78.4010528,Telangana
Ali Adil Shah I,Bijapur,Bijapur,1531,1579,16.8301708,75.710031,Karnataka,16.8301708,75.710031,Karnataka
Abdul Rahim Khan-I-Khana,Delhi,Agra,1556,1627,28.7040592,77.10249019999999,Delhi,27.1766701,78.00807449999999,Uttar Pradesh
Muhammad Quli Qutb Shah,Golkonda,Hyderabad,1565,1612,17.383309,78.4010528,Telangana,17.385044,78.486671,Telangana
Ibrahim Adil Shah II,Bijapur,Bijapur,1570,1627,16.8301708,75.710031,Karnataka,16.8301708,75.710031,Karnataka
Mirza Abdul Qadir Bedil Dehlavi,Patna,Delhi,1642,1720,25.5940947,85.1375645,Bihar,28.7040592,77.10249019999999,Delhi
Wali Muhammad Wali,Aurangabad,Ahmedabad,1667,1707,19.8761653,75.3433139,Maharashtra,23.022505,72.5713621,Gujarat
Shah Mubarak Abroo,Gwalior,Unknown,1683,1733,26.2124007,78.1772053,Madhya Pradesh,,,
Siraj-ud-Din Ali Khan Arzu,Agra,Lucknow,1687,1756,27.1766701,78.00807449999999,Uttar Pradesh,26.8466937,80.94616599999999,Uttar Pradesh
Mirza Mazhar Jan-e-Janaan,Agra,Delhi,1699,1781,27.1766701,78.00807449999999,Uttar Pradesh,28.7040592,77.10249019999999,Delhi
Mirza Muhammad Rafi,Delhi,Lucknow,1713,1782,28.7040592,77.10249019999999,Delhi,26.8466937,80.94616599999999,Uttar Pradesh
Siraj Aurangabadi,Aurangabad,Aurangabad,1715,1763,19.8761653,75.3433139,Maharashtra,19.8761653,75.3433139,Maharashtra
Mohammad Meer Soz Dehlvi,Delhi,Lucknow,1720,1799,28.7040592,77.10249019999999,Delhi,26.8466937,80.94616599999999,Uttar Pradesh
Khwaja Mir Dard,Delhi,Delhi,1720,1785,28.7040592,77.10249019999999,Delhi,28.7040592,77.10249019999999,Delhi
Qayem Chandpuri,Chandpur,Rampur,1722,1793,23.2250228,90.6547361,Chittagong Division,28.798299,79.02202869999999,Uttar Pradesh
